
[SG - attachedToMutation : 1| OV :32767 | NV :26728 ]
[SG - attachedToMutation : 2| OV :32767 | NV :19034 ]
[SG - attachedToMutation : 1| OV :32767 | NV :26728 ]
[SG - attachedToMutation : 2| OV :32767 | NV :19034 ]
[SG - attachedToMutation : 3| OV :26728 | NV :32767 ]
[SG - attachedToMutation : 1| OV :32767 | NV :26728 ]
[SG - attachedToMutation : 2| OV :32767 | NV :19034 ]
[SG - attachedToMutation : 3| OV :26728 | NV :32767 ]
[SG - attachedToMutation : 4| OV :19034 | NV :1445 ]
[SG - attachedToMutation : 1| OV :32767 | NV :26728 ]
[SG - attachedToMutation : 2| OV :32767 | NV :19034 ]
[SG - attachedToMutation : 3| OV :26728 | NV :32767 ]
[SG - attachedToMutation : 4| OV :19034 | NV :1445 ]
[SG - attachedToMutation : 5| OV :f | NV :t ]
[SG - attachedToMutation : 1| OV :32767 | NV :26728 ]
[SG - attachedToMutation : 2| OV :32767 | NV :19034 ]
[SG - attachedToMutation : 3| OV :26728 | NV :32767 ]
[SG - attachedToMutation : 4| OV :19034 | NV :1445 ]
[SG - attachedToMutation : 5| OV :f | NV :t ]
[SG - attachedToMutation : 6| OV :394 | NV :32767 ]
[SG - attachedToMutation : 1| OV :32767 | NV :26728 ]
[SG - attachedToMutation : 2| OV :32767 | NV :19034 ]
[SG - attachedToMutation : 3| OV :26728 | NV :32767 ]
[SG - attachedToMutation : 4| OV :19034 | NV :1445 ]
[SG - attachedToMutation : 5| OV :f | NV :t ]
[SG - attachedToMutation : 6| OV :394 | NV :32767 ]
[SG - attachedToMutation : 7| OV :`cb2237c0679ca88db6464eac60da96345513964 | NV :`cb2237c0679ca88db6464eac60da96345513:64 ]
[SG - attachedToMutation : 1| OV :32767 | NV :26728 ]
[SG - attachedToMutation : 2| OV :32767 | NV :19034 ]
[SG - attachedToMutation : 3| OV :26728 | NV :32767 ]
[SG - attachedToMutation : 4| OV :19034 | NV :1445 ]
[SG - attachedToMutation : 5| OV :f | NV :t ]
[SG - attachedToMutation : 6| OV :394 | NV :32767 ]
[SG - attachedToMutation : 7| OV :`cb2237c0679ca88db6464eac60da96345513964 | NV :`cb2237c0679ca88db6464eac60da96345513:64 ]
[SG - attachedToMutation : 8| OV :Gom | NV :Gol ]
[SG - attachedToMutation : 1| OV :32767 | NV :26728 ]
[SG - attachedToMutation : 2| OV :32767 | NV :19034 ]
[SG - attachedToMutation : 3| OV :26728 | NV :32767 ]
[SG - attachedToMutation : 4| OV :19034 | NV :1445 ]
[SG - attachedToMutation : 5| OV :f | NV :t ]
[SG - attachedToMutation : 6| OV :394 | NV :32767 ]
[SG - attachedToMutation : 7| OV :`cb2237c0679ca88db6464eac60da96345513964 | NV :`cb2237c0679ca88db6464eac60da96345513:64 ]
[SG - attachedToMutation : 8| OV :Gom | NV :Gol ]
[SG - attachedToMutation : 9| OV :Lnm | NV :Lmm ]
[SG - attachedToMutation : 1| OV :32767 | NV :26728 ]
[SG - attachedToMutation : 2| OV :32767 | NV :19034 ]
[SG - attachedToMutation : 3| OV :26728 | NV :32767 ]
[SG - attachedToMutation : 4| OV :19034 | NV :1445 ]
[SG - attachedToMutation : 5| OV :f | NV :t ]
[SG - attachedToMutation : 6| OV :394 | NV :32767 ]
[SG - attachedToMutation : 7| OV :`cb2237c0679ca88db6464eac60da96345513964 | NV :`cb2237c0679ca88db6464eac60da96345513:64 ]
[SG - attachedToMutation : 8| OV :Gom | NV :Gol ]
[SG - attachedToMutation : 9| OV :Lnm | NV :Lmm ]
[SG - attachedToMutation : 10| OV :Osaka | NV :Psaka ]
[SG - attachedToMutation : 1| OV :32767 | NV :26728 ]
[SG - attachedToMutation : 2| OV :32767 | NV :19034 ]
[SG - attachedToMutation : 3| OV :26728 | NV :32767 ]
[SG - attachedToMutation : 4| OV :19034 | NV :1445 ]
[SG - attachedToMutation : 5| OV :f | NV :t ]
[SG - attachedToMutation : 6| OV :394 | NV :32767 ]
[SG - attachedToMutation : 7| OV :`cb2237c0679ca88db6464eac60da96345513964 | NV :`cb2237c0679ca88db6464eac60da96345513:64 ]
[SG - attachedToMutation : 8| OV :Gom | NV :Gol ]
[SG - attachedToMutation : 9| OV :Lnm | NV :Lmm ]
[SG - attachedToMutation : 10| OV :Osaka | NV :Psaka ]
[SG - attachedToMutation : 11| OV :Tallahassee | NV :Taklahassee ]
